"","pvalgenotypeFMR1WT","padjgenotypeFMR1WT","log2FoldChange","rownames"
"Dhrs3",0.0123934081530059,0.293352921882531,0.264060809753804,"Dhrs3"
"Dhrs4",0.281109027546093,0.92947671018399,0.108422381247923,"Dhrs4"
"Dhrs7",0.738782870148515,0.999781696584314,0.0356393672533554,"Dhrs7"
"Dhrs7b",0.425721302929444,0.988070092908983,0.0915057942867604,"Dhrs7b"
"Dhrs7c",0.589107251688296,0.999781696584314,-1.56088802883012,"Dhrs7c"
"Dhtkd1",0.326739406385024,0.955546630964823,-0.195316607278187,"Dhtkd1"
"Dhx15",0.758066277036085,0.999781696584314,-0.015246267179485,"Dhx15"
"Dhx16",0.373198449568392,0.97302100967793,0.0615382669917872,"Dhx16"
"Dhx29",0.217006002872794,0.881872641859119,0.0996151939914506,"Dhx29"
"Dhx30",0.459091651101044,0.99684247778883,-0.0541296749088807,"Dhx30"
"Dhx32",0.964063790265324,0.999781696584314,-0.00287797172659623,"Dhx32"
"Dhx33",0.523341573721212,0.999781696584314,-0.0525331659879268,"Dhx33"
"Dhx34",0.362073514326405,0.969141533982614,0.064809629846311,"Dhx34"
"Dhx35",0.224419313260456,0.890461197953064,0.100864908508823,"Dhx35"
"Dhx36",0.269155757995807,0.920496807402853,-0.0611156681854911,"Dhx36"
"Dhx37",0.875773470270285,0.999781696584314,0.0139517304272365,"Dhx37"
"Dhx38",0.746482026047887,0.999781696584314,-0.0223339730948391,"Dhx38"
"Dhx40",0.531072350849852,0.999781696584314,0.0473292729381616,"Dhx40"
"Dhx57",0.471469757673661,0.999781696584314,0.0450343127475309,"Dhx57"
"Dhx58",0.129300409889564,0.77810215064167,0.440475516764409,"Dhx58"
"Dhx8",0.00752172831108857,0.221699348787021,-0.159835549302275,"Dhx8"
"Dhx9",0.952081011680479,0.999781696584314,0.00347748087747454,"Dhx9"
"Diablo",0.0606723733939479,0.581649290134741,0.157319781634807,"Diablo"
"Diap1",0.113661633411787,0.744947755340371,-0.106767795624625,"Diap1"
"Diap2",0.279379748818119,0.928923863952468,-0.143222654292526,"Diap2"
"Diap3",0.0205652024651475,0.364981866707547,-0.424038645431954,"Diap3"
"Dicer1",0.243064174775518,0.90331388183267,-0.199958381518804,"Dicer1"
"Dido1",0.64300163680498,0.999781696584314,0.0362902576686571,"Dido1"
"Diexf",0.300765698279755,0.941411306522267,-0.0839118415948392,"Diexf"
"Dimt1",0.909459746421004,0.999781696584314,0.0119255274877573,"Dimt1"
"Dio2",0.000564723031717682,0.0453872623469318,0.257631004140739,"Dio2"
"Dio3",0.635833065623868,0.999781696584314,-0.0853279298209045,"Dio3"
"Dio3os",0.759261962415115,0.999781696584314,-0.278687009232361,"Dio3os"
"Dip2a",0.677509380096598,0.999781696584314,0.0321496340108251,"Dip2a"
"Dip2b",0.957432435598343,0.999781696584314,-0.00402932002854433,"Dip2b"
"Dip2c",0.00580029044905585,0.191378567222859,-0.143848835296778,"Dip2c"
"Diras1",0.351759816614535,0.966264143271973,-0.0837129423507636,"Diras1"
"Diras2",0.00103483612712443,0.0689022183923498,-0.198380065154229,"Diras2"
"Dirc2",0.0157227806749138,0.328474797170038,0.12982531557548,"Dirc2"
"Dis3",0.939725131132609,0.999781696584314,-0.00975872941301036,"Dis3"
"Dis3l",0.68774913860939,0.999781696584314,0.0248253773017109,"Dis3l"
"Dis3l2",0.873530943710684,0.999781696584314,0.0118505837717514,"Dis3l2"
"Disc1",0.786352194038601,0.999781696584314,-0.0897495409958857,"Disc1"
"Disp1",0.474824547015421,0.999781696584314,-0.228244478679237,"Disp1"
"Disp2",0.0363295424232276,0.463956064409041,-0.139919437410743,"Disp2"
"Dixdc1",0.320647311413201,0.951740670145478,-0.0712872402658608,"Dixdc1"
"Dkc1",0.523451346405831,0.999781696584314,-0.0523524819440801,"Dkc1"
"Dkk1",0.882366662180272,0.999781696584314,-0.0900186922421759,"Dkk1"
"Dkk2",0.790201520061614,0.999781696584314,-0.0491779251658714,"Dkk2"
"Dkk3",0.0560187379743293,0.556611825969742,-0.163536106769493,"Dkk3"
"Dkkl1",0.0653847881887436,0.597616068922501,1.0345296009382,"Dkkl1"
"Dlat",0.319014404376697,0.951394628301153,0.0562574591867908,"Dlat"
"Dlc1",0.0908320376641976,0.684011805192961,-0.121133701760653,"Dlc1"
"Dld",0.542073762051237,0.999781696584314,0.0388228850738318,"Dld"
"Dlec1",0.848935857367142,0.999781696584314,0.0547616506650451,"Dlec1"
"Dleu2",0.424413816958607,0.987009095707954,-0.23864238549783,"Dleu2"
"Dleu7",0.0881900548803278,0.675381843539457,-0.459615507217681,"Dleu7"
"Dlg1",0.290754700491686,0.935325871110511,0.112179234919517,"Dlg1"
"Dlg2",0.280462296179568,0.92947671018399,-0.116948539378862,"Dlg2"
"Dlg3",0.853729024913522,0.999781696584314,-0.0133307328167482,"Dlg3"
"Dlg4",0.0442490785125314,0.507151977255082,-0.163094970979115,"Dlg4"
"Dlg5",0.650296688082765,0.999781696584314,-0.0467728433654261,"Dlg5"
"Dlgap1",0.0808369688447768,0.65141633536573,-0.109264187224222,"Dlgap1"
"Dlgap2",0.12908907185267,0.77810215064167,-0.122533498472677,"Dlgap2"
"Dlgap3",7.77483810244914e-07,0.000159902503640371,-0.346058750463452,"Dlgap3"
"Dlgap4",0.11642704408207,0.749295351317037,-0.0976089256373013,"Dlgap4"
"Dlgap5",0.116007775882386,0.74871127321582,-1.06986932833237,"Dlgap5"
"Dlk1",0.135288643301637,0.789857157657534,-0.479245104544798,"Dlk1"
"Dlk2",0.225362672405566,0.890534656761696,0.165317241298495,"Dlk2"
"Dll1",0.890257641779115,0.999781696584314,-0.0166221341456671,"Dll1"
"Dll3",0.703692870639821,0.999781696584314,-0.120975255405231,"Dll3"
"Dll4",0.758284967785284,0.999781696584314,0.0788248795024822,"Dll4"
"Dlst",0.0787027973530671,0.64260643096836,0.0878225217673917,"Dlst"
"Dlx1",0.208529503012652,0.872132156478376,-0.312364289644742,"Dlx1"
"Dlx1as",0.651579023891903,0.999781696584314,-0.0653314813275231,"Dlx1as"
"Dlx2",0.510125557520893,0.999781696584314,-0.204522110292249,"Dlx2"
"Dlx3",0.5692902758945,0.999781696584314,0.497846739351248,"Dlx3"
"Dlx4",0.535013221174207,0.999781696584314,0.262792016593533,"Dlx4"
"Dlx5",0.914628059586259,0.999781696584314,-0.0284916850831623,"Dlx5"
"Dlx6",0.660241975961391,0.999781696584314,-0.119164644410957,"Dlx6"
"Dlx6as2",0.784723009412554,0.999781696584314,0.72049519783293,"Dlx6as2"
"Dlx6os1",0.923193849880113,0.999781696584314,-0.0377093680723736,"Dlx6os1"
"Dmap1",0.755604866322305,0.999781696584314,0.0320467840105739,"Dmap1"
"Dmbx1",0.717172452635088,0.999781696584314,-0.17890223540301,"Dmbx1"
"Dmc1",0.0470961711479681,0.517381007147475,0.862849748055505,"Dmc1"
"Dmd",0.781693555615149,0.999781696584314,0.0336680684962859,"Dmd"
"Dmgdh",1.84006015315772e-05,0.00294164309812491,1.29265203782114,"Dmgdh"
"Dmkn",0.977769807593417,0.999781696584314,-0.00671037298021753,"Dmkn"
"Dmp1",0.054537513764571,0.54838251664588,0.275994059715751,"Dmp1"
"Dmpk",0.0217516106055758,0.376634529756041,0.397243337073772,"Dmpk"
"Dmrt1",0.989918527796257,0.999781696584314,0.0187036768123157,"Dmrt1"
"Dmrt2",0.527848942246649,0.999781696584314,0.251409611394677,"Dmrt2"
"Dmrt3",0.00703561122896542,0.21596876260058,0.493562198412624,"Dmrt3"
"Dmrta1",0.973894339836977,0.999781696584314,0.0164800891009125,"Dmrta1"
"Dmrta2",0.776479230127772,0.999781696584314,0.0715141937945972,"Dmrta2"
